xi=20
eta=40
x                    y                   
3.174089             0.765182            
3.072874             0.732794            
2.971660             0.700405            
2.870445             0.668016            
2.769231             0.635628            
2.668016             0.603239            
2.566802             0.570850            
2.465587             0.538462            
2.364372             0.506073            
2.263158             0.473684            
2.161943             0.441296            
2.060729             0.408907            
1.959514             0.376518            
1.858300             0.344130            
1.757085             0.311741            
1.655870             0.279352            
1.554656             0.246964            
1.453441             0.214575            
1.352227             0.182186            
1.251012             0.149798            
1.149798             0.117409            
1.048583             0.085020            
0.947368             0.052632            
4.947368             1.157895            
4.845479             1.128880            
4.743590             1.099865            
4.641700             1.070850            
4.539811             1.041835            
4.437922             1.012821            
4.336032             0.983806            
4.234143             0.954791            
4.132254             0.925776            
4.030364             0.896761            
3.928475             0.867746            
3.826586             0.838731            
3.724696             0.809717            
3.622807             0.780702            
3.520918             0.751687            
3.419028             0.722672            
3.317139             0.693657            
3.215250             0.664642            
3.113360             0.635628            
3.011471             0.606613            
2.909582             0.577598            
2.807692             0.548583            
2.705803             0.519568            
2.603914             0.490553            
2.502024             0.461538            
2.400135             0.432524            
2.298246             0.403509            
2.196356             0.374494            
2.094467             0.345479            
1.992578             0.316464            
1.890688             0.287449            
1.788799             0.258435            
1.686910             0.229420            
1.585020             0.200405            
1.483131             0.171390            
1.381242             0.142375            
1.279352             0.113360            
1.177463             0.084345            
1.075574             0.055331            
0.973684             0.026316            
5.000000             1.000000            
4.897436             0.974359            
4.794872             0.948718            
4.692308             0.923077            
4.589744             0.897436            
4.487179             0.871795            
4.384615             0.846154            
4.282051             0.820513            
4.179487             0.794872            
4.076923             0.769231            
3.974359             0.743590            
3.871795             0.717949            
3.769231             0.692308            
3.666667             0.666667            
3.564103             0.641026            
3.461538             0.615385            
3.358974             0.589744            
3.256410             0.564103            
3.153846             0.538462            
3.051282             0.512821            
2.948718             0.487179            
2.846154             0.461538            
2.743590             0.435897            
2.641026             0.410256            
2.538462             0.384615            
2.435897             0.358974            
2.333333             0.333333            
2.230769             0.307692            
2.128205             0.282051            
2.025641             0.256410            
1.923077             0.230769            
1.820513             0.205128            
1.717949             0.179487            
1.615385             0.153846            
1.512821             0.128205            
1.410256             0.102564            
1.307692             0.076923            
1.205128             0.051282            
1.102564             0.025641            
1.000000             0.000000            
